   2
   1   2   3  15
  15
  48  49  49  52  47  49  48  48  48  50  50  49  52  49  48
    0.55    0.60    0.60    0.65    0.70    0.80    0.90    1.00    1.10    1.20
   0.303833E+08  1.5832  3.7531              8   150                  
   0.363623E+08  1.5777  3.7560              9   164                  
   0.425074E+08  1.5738  3.7582             10   179                  
   0.486858E+08  1.5720  3.7594             11   194                  
   0.547236E+08  1.5719  3.7599             12   210                  
   0.555659E+08  1.5715  3.7601 Te-M        13   212                  
   0.608783E+08  1.5744  3.7592             14   227                  
   0.671584E+08  1.5785  3.7579             15   245                  
   0.734294E+08  1.5854  3.7557             16   264                  
   0.799123E+08  1.5952  3.7526             17   284                  
   0.865285E+08  1.6070  3.7495             18   307                  
   0.933831E+08  1.6225  3.7455             19   335                  
   0.101203E+09  1.6426  3.7413             20   367                  
   0.106582E+09  1.6572  3.7388             21   379                  
   0.110209E+09  1.6737  3.7361             22   390                  
   0.123473E+09  1.7307  3.7282             23   432                  
   0.124596E+09  1.7697  3.7221             24   451                  
   0.125435E+09  1.8395  3.7118             25   463                  
   0.125681E+09  1.8938  3.7034             26   474                  
   0.125880E+09  2.0039  3.6906 Yc=0        27   513                  
   0.125955E+09  2.0640  3.6824             28   518                  
   0.126035E+09  2.1260  3.6765             29   523                  
   0.126134E+09  2.1878  3.6709             30   528                  
   0.126238E+09  2.2145  3.6680 L-M         31   531                  
   0.126677E+09  2.1576  3.6741             32   538                  
   0.127173E+09  2.1416  3.6757 L-m         33   543                  
   0.129206E+09  2.2013  3.6702             34   550                  
   0.130115E+09  2.2582  3.6642             35   553                  
   0.131016E+09  2.3330  3.6565             36   556                  
   0.131857E+09  2.4185  3.6489             37   559                  
   0.132389E+09  2.4758  3.6429             38   561                  
   0.132972E+09  2.5405  3.6377             39   565                  
   0.133387E+09  2.6023  3.6322             40   573                  
   0.133711E+09  2.6652  3.6267             41   576                  
   0.133977E+09  2.7293  3.6205             42   581                  
   0.134168E+09  2.7847  3.6140             43   594                  
   0.134355E+09  2.8417  3.6082             44   617                  
   0.134546E+09  2.8992  3.6037             45   636                  
   0.134740E+09  2.9567  3.5984             46   681                  
   0.134958E+09  3.0146  3.5932             47   742                  
   0.135215E+09  3.0727  3.5884             48   838                  
   0.135259E+09  3.1157  3.5844 C=0.5056    49   859                  
   0.000000E+00  1.6105  3.7280 M=  0.65                     1    59  
   0.383745E+07  1.6348  3.7204              2    73                  
   0.854197E+07  1.6431  3.7198 Te-m         3    85                  
   0.876893E+07  1.6432  3.7198              4    86                  
   0.139677E+08  1.6444  3.7204              5    99                  
   0.193558E+08  1.6401  3.7220              6   112                  
   0.249454E+08  1.6343  3.7239              7   126                  
   0.307155E+08  1.6298  3.7257              8   140                  
   0.366966E+08  1.6256  3.7279              9   155                  
   0.428483E+08  1.6228  3.7295             10   170                  
   0.489496E+08  1.6207  3.7308             11   185                  
   0.549257E+08  1.6205  3.7313             12   201                  
   0.602365E+08  1.6213  3.7315 Te-M        13   215                  
   0.609936E+08  1.6216  3.7314             14   218                  
   0.670895E+08  1.6242  3.7312             15   235                  
   0.731773E+08  1.6288  3.7303             16   254                  
   0.795040E+08  1.6356  3.7289             17   275                  
   0.862151E+08  1.6454  3.7272             18   298                  
   0.929758E+08  1.6590  3.7252             19   325                  
   0.101176E+09  1.6785  3.7225             20   359                  
   0.104963E+09  1.6916  3.7208             21   367                  
   0.109343E+09  1.7097  3.7186             22   377                  
   0.124411E+09  1.7736  3.7120             23   424                  
   0.125461E+09  1.8128  3.7072             24   443                  
   0.126261E+09  1.8812  3.6979             25   455                  
   0.126500E+09  1.9337  3.6926             26   466                  
   0.126697E+09  2.0427  3.6799 Yc=0        27   505                  
   0.126782E+09  2.1111  3.6740             28   510                  
   0.126872E+09  2.1785  3.6679             29   515                  
   0.127016E+09  2.2350  3.6626             30   520                  
   0.127062E+09  2.2351  3.6626 L-M         31   521                  
   0.127473E+09  2.1787  3.6682             32   528                  
   0.127946E+09  2.1658  3.6697 L-m         33   533                  
   0.129915E+09  2.2303  3.6633             34   540                  
   0.130810E+09  2.2949  3.6567             35   543                  
   0.131617E+09  2.3778  3.6503             36   546                  
   0.132308E+09  2.4569  3.6425             37   549                  
   0.132809E+09  2.5165  3.6376             38   557                  
   0.133399E+09  2.5957  3.6313             39   562                  
   0.133739E+09  2.6559  3.6256             40   571                  
   0.134016E+09  2.7213  3.6193             41   575                  
   0.134214E+09  2.7784  3.6145             42   593                  
   0.134402E+09  2.8354  3.6086             43   604                  
   0.134578E+09  2.8939  3.6020             44   618                  
   0.134754E+09  2.9529  3.5966             45   651                  
   0.134944E+09  3.0109  3.5915             46   702                  
   0.135175E+09  3.0677  3.5864             47   797                  
   0.135323E+09  3.0123  3.5923             48   865                  
   0.135335E+09  3.0798  3.5859             49   870                  
   0.135349E+09  3.1443  3.5796             50   875                  
   0.135369E+09  3.2030  3.5736             51   885                  
   0.135402E+09  3.2441  3.5695 C=0.5109    52   918                  
   0.000000E+00  1.6229  3.7180 M=  0.70                     1    57  
   0.380058E+07  1.6584  3.7129              2    70                  
   0.882052E+07  1.6674  3.7122 Te-m         3    83                  
   0.138895E+08  1.6676  3.7128              4    96                  
   0.192711E+08  1.6639  3.7140              5   110                  
   0.248250E+08  1.6597  3.7153              6   124                  
   0.305416E+08  1.6559  3.7167              7   137                  
   0.364883E+08  1.6531  3.7177              8   152                  
   0.425452E+08  1.6509  3.7186              9   166                  
   0.485811E+08  1.6495  3.7192             10   181                  
   0.545550E+08  1.6492  3.7196             11   197                  
   0.605647E+08  1.6495  3.7199             12   214                  
   0.629268E+08  1.6506  3.7199 Te-M        13   220                  
   0.665547E+08  1.6520  3.7198             14   231                  
   0.726348E+08  1.6560  3.7194             15   250                  
   0.789260E+08  1.6621  3.7188             16   271                  
   0.854386E+08  1.6710  3.7179             17   294                  
   0.925102E+08  1.6837  3.7169             18   322                  
   0.997049E+08  1.7022  3.7143             19   356                  
   0.103543E+09  1.7157  3.7131             20   364                  
   0.107697E+09  1.7340  3.7111             21   375                  
   0.123944E+09  1.7993  3.7039             22   424                  
   0.124940E+09  1.8384  3.6999             23   443                  
   0.125709E+09  1.9060  3.6928             24   455                  
   0.125941E+09  1.9576  3.6879             25   466                  
   0.126131E+09  2.0621  3.6772 Yc=0        26   505                  
   0.126219E+09  2.1323  3.6699             27   510                  
   0.126315E+09  2.2028  3.6640             28   515                  
   0.126477E+09  2.2502  3.6593 L-M         29   520                  
   0.126848E+09  2.1945  3.6650             30   526                  
   0.127224E+09  2.1781  3.6665 L-m         31   530                  
   0.129332E+09  2.2482  3.6596             32   538                  
   0.130205E+09  2.3123  3.6542             33   541                  
   0.130985E+09  2.3948  3.6482             34   544                  
   0.131646E+09  2.4804  3.6395             35   547                  
   0.132087E+09  2.5414  3.6350             36   549                  
   0.132549E+09  2.6014  3.6305             37   556                  
   0.132964E+09  2.6775  3.6234             38   561                  
   0.133211E+09  2.7403  3.6175             39   565                  
   0.133417E+09  2.8004  3.6129             40   575                  
   0.133585E+09  2.8564  3.6071             41   582                  
   0.133748E+09  2.9144  3.6008             42   601                  
   0.133913E+09  2.9708  3.5951             43   630                  
   0.134103E+09  3.0281  3.5897             44   674                  
   0.134305E+09  3.0853  3.5845             45   738                  
   0.134466E+09  3.1462  3.5794             46   813                  
   0.134499E+09  3.1972  3.5743 C=0.5136    47   834                  
   0.000000E+00  1.6647  3.7100 M=  0.80                     1    21  
   0.400577E+07  1.6883  3.7063              2    34                  
   0.898583E+07  1.6995  3.7054              3    47                  
   0.118159E+08  1.7027  3.7052 Te-m         4    54                  
   0.142136E+08  1.7028  3.7054              5    60                  
   0.196371E+08  1.7003  3.7065              6    74                  
   0.252392E+08  1.6972  3.7076              7    88                  
   0.310324E+08  1.6950  3.7085              8   102                  
   0.369325E+08  1.6927  3.7095              9   116                  
   0.429789E+08  1.6925  3.7101             10   131                  
   0.490010E+08  1.6920  3.7108             11   146                  
   0.549155E+08  1.6922  3.7113             12   162                  
   0.607407E+08  1.6932  3.7117             13   179                  
   0.666834E+08  1.6954  3.7117             14   196                  
   0.678113E+08  1.6947  3.7120 Te-M        15   199                  
   0.727119E+08  1.6987  3.7116             16   215                  
   0.788724E+08  1.7042  3.7110             17   235                  
   0.853443E+08  1.7121  3.7101             18   258                  
   0.920194E+08  1.7236  3.7087             19   284                  
   0.991375E+08  1.7417  3.7073             20   315                  
   0.102909E+09  1.7542  3.7061             21   323                  
   0.107319E+09  1.7728  3.7041             22   333                  
   0.120968E+09  1.8347  3.6979             23   380                  
   0.121967E+09  1.8720  3.6944             24   398                  
   0.122725E+09  1.9355  3.6883             25   411                  
