   4
   1   2   3   5   6  11  12  16
  16
  81  81  81  80  80  80  80  80  79  78  77  77  73  77  78  77
    0.60    0.70    0.70    0.80    0.90    0.90    1.00    1.10    1.20    1.30
   0.316595E+11 -0.1566  3.7311             21   306                  
   0.328510E+11 -0.0989  3.7304 Xc=0        22   335                  
   0.338891E+11 -0.0398  3.7255             23   345                  
   0.344279E+11  0.0071  3.7161             24   358                  
   0.346151E+11  0.0266  3.7111 Brg         25   362                  
   0.349198E+11  0.0754  3.6995             26   371                  
   0.351132E+11  0.1285  3.6923             27   380                  
   0.352658E+11  0.1872  3.6877             28   389                  
   0.353962E+11  0.2493  3.6851             29   399                  
   0.355018E+11  0.3100  3.6838             30   409                  
   0.355949E+11  0.3714  3.6826             31   418                  
   0.356907E+11  0.4367  3.6818             32   430                  
   0.357711E+11  0.5009  3.6811             33   442                  
   0.358456E+11  0.5649  3.6802             34   455                  
   0.359063E+11  0.6264  3.6795             35   469                  
   0.359640E+11  0.6893  3.6784             36   485                  
   0.360156E+11  0.7540  3.6772             37   502                  
   0.360588E+11  0.8146  3.6763             38   518                  
   0.360966E+11  0.8766  3.6748             39   535                  
   0.361300E+11  0.9392  3.6736             40   555                  
   0.361606E+11  0.9998  3.6719             41   577                  
   0.361864E+11  1.0598  3.6698             42   598                  
   0.362090E+11  1.1202  3.6682             43   622                  
   0.362298E+11  1.1816  3.6660             44   648                  
   0.362496E+11  1.2431  3.6639             45   676                  
   0.362717E+11  1.3035  3.6621             46   714                  
   0.362791E+11  1.3147  3.6620 L-M         47   729                  
   0.362936E+11  1.3137  3.6626 L-m         48   759                  
   0.363061E+11  1.3729  3.6598             49   786                  
   0.363178E+11  1.4343  3.6570             50   817                  
   0.363304E+11  1.5036  3.6539             51   824                  
   0.363406E+11  1.5694  3.6507             52   830                  
   0.363492E+11  1.6350  3.6473             53   836                  
   0.363568E+11  1.6971  3.6450             54   842                  
   0.363632E+11  1.7571  3.6416             55   848                  
   0.363696E+11  1.8231  3.6384             56   855                  
   0.363751E+11  1.8883  3.6347             57   862                  
   0.363798E+11  1.9515  3.6310             58   869                  
   0.363839E+11  2.0129  3.6271             59   876                  
   0.363874E+11  2.0741  3.6232             60   883                  
   0.363908E+11  2.1390  3.6192             61   891                  
   0.363938E+11  2.2035  3.6152             62   899                  
   0.363963E+11  2.2631  3.6107             63   907                  
   0.363986E+11  2.3246  3.6065             64   915                  
   0.364007E+11  2.3877  3.6044             65   924                  
   0.364025E+11  2.4516  3.5997             66   933                  
   0.364043E+11  2.5172  3.5948             67   943                  
   0.364056E+11  2.5771  3.5895             68   952                  
   0.364068E+11  2.6342  3.5846             69   961                  
   0.364081E+11  2.6939  3.5799             70   972                  
   0.364091E+11  2.7549  3.5749             71   982                  
   0.364101E+11  2.8210  3.5706             72   994                  
   0.364109E+11  2.8837  3.5638             73  1006                  
   0.364118E+11  2.9475  3.5567             74  1019                  
   0.364125E+11  3.0025  3.5505             75  1032                  
   0.364131E+11  3.0633  3.5469             76  1044                  
   0.364136E+11  3.1168  3.5399             77  1058                  
   0.364142E+11  3.1754  3.5343             78  1072                  
   0.364147E+11  3.2386  3.5282             79  1090                  
   0.364151E+11  3.2918  3.5202             80  1110                  
   0.364153E+11  3.3269  3.5183 F           81  1134                  
   0.000000E+00 -0.4852  3.7179 M=  0.80  Z=0.008 Y=0.25     1    12  
   0.150035E+10 -0.4498  3.7220              2    32                  
   0.320337E+10 -0.4201  3.7263              3    51                  
   0.477363E+10 -0.3911  3.7298              4    69                  
   0.621950E+10 -0.3626  3.7333              5    85                  
   0.754882E+10 -0.3342  3.7365              6   102                  
   0.878050E+10 -0.3063  3.7395              7   117                  
   0.992277E+10 -0.2786  3.7422              8   132                  
   0.109738E+11 -0.2508  3.7449              9   146                  
   0.118556E+11 -0.2258  3.7470             10   160                  
   0.125828E+11 -0.2048  3.7487             11   174                  
   0.133459E+11 -0.1805  3.7505             12   188                  
   0.141907E+11 -0.1515  3.7522             13   208                  
   0.151882E+11 -0.1135  3.7543             14   235                  
   0.157524E+11 -0.0915  3.7551             15   242                  
   0.163188E+11 -0.0668  3.7562             16   250                  
   0.169719E+11 -0.0366  3.7571             17   269                  
   0.172487E+11 -0.0234  3.7573             18   284                  
   0.176155E+11 -0.0044  3.7575             19   295                  
   0.177907E+11  0.0050  3.7575 Te-M        20   300                  
