# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5500 3 # agb_0.550_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1029 3.5172 0.55000 0.49862 1.3286e+02 0 1.0965e-07 6.893000e-01 2.938860e-01 2.503200e-03 1.448755e-03 7.376982e-03 -0.1197 6.893000e-01 2.938860e-01 2.503200e-03 1.448755e-03 7.376982e-03
1.3169e+05 3.2374 3.5151 0.52724 0.50007 1.8979e+02 0 2.4210e-07 6.893000e-01 2.938860e-01 2.503200e-03 1.448755e-03 7.376982e-03 -0.1252 6.893000e-01 2.938860e-01 2.503200e-03 1.448755e-03 7.376982e-03
2.3203e+05 3.3331 3.5546 0.50634 0.50108 1.7137e+02 0 5.9841e-07 6.893000e-01 2.938860e-01 2.503200e-03 1.448755e-03 7.376982e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5600 3 # agb_0.560_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3196 3.4870 0.56000 0.50313 2.7779e+02 0 2.7542e-07 6.893000e-01 2.939120e-01 2.508100e-03 1.442793e-03 7.376961e-03 -0.1286 6.893000e-01 2.939120e-01 2.508100e-03 1.442793e-03 7.376961e-03
1.2577e+05 3.3744 3.5220 0.51996 0.50504 2.4553e+02 0 5.5719e-07 6.893000e-01 2.939120e-01 2.508100e-03 1.442793e-03 7.376961e-03 -0.1293 6.893000e-01 2.939120e-01 2.508100e-03 1.442793e-03 7.376961e-03
1.8253e+05 3.3185 3.5560 0.51084 0.50543 1.6241e+02 0 5.4954e-07 6.893000e-01 2.939120e-01 2.508100e-03 1.442793e-03 7.376961e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5700 4 # agb_0.570_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1157 3.5113 0.57000 0.50120 1.3947e+02 0 1.0495e-07 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03 -0.1239 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03
1.2774e+05 3.2714 3.4982 0.54862 0.50270 2.2982e+02 0 2.3823e-07 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03 -0.1321 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03
2.6489e+05 3.3076 3.5428 0.51333 0.50471 1.7759e+02 0 4.6345e-07 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03 -0.1221 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03
3.0632e+05 3.0974 3.5715 0.50990 0.50484 8.6477e+01 0 1.9231e-07 6.893000e-01 2.938410e-01 2.518100e-03 1.430831e-03 7.376966e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5800 3 # agb_0.580_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2380 3.4928 0.58000 0.50347 2.1301e+02 0 1.7140e-07 6.893000e-01 2.938660e-01 2.531300e-03 1.415864e-03 7.376977e-03 -0.1313 6.893000e-01 2.938660e-01 2.531300e-03 1.415864e-03 7.376977e-03
1.2526e+05 3.3368 3.4897 0.55288 0.50521 2.8494e+02 0 3.1696e-07 6.893000e-01 2.938660e-01 2.531300e-03 1.415864e-03 7.376977e-03 -0.1353 6.893000e-01 2.938660e-01 2.531300e-03 1.415864e-03 7.376977e-03
2.4568e+05 3.4285 3.5516 0.51259 0.50718 2.1538e+02 0 9.6383e-07 6.893000e-01 2.938660e-01 2.531300e-03 1.415864e-03 7.376977e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5900 3 # agb_0.590_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2801 3.4851 0.59000 0.50461 2.4670e+02 0 1.9770e-07 6.893000e-01 2.938860e-01 2.541400e-03 1.403890e-03 7.376991e-03 -0.1350 6.893000e-01 2.938860e-01 2.541400e-03 1.403890e-03 7.376991e-03
1.2376e+05 3.3633 3.4829 0.56142 0.50645 3.1695e+02 0 3.3963e-07 6.893000e-01 2.938860e-01 2.541400e-03 1.403890e-03 7.376991e-03 -0.1388 6.893000e-01 2.938860e-01 2.541400e-03 1.403890e-03 7.376991e-03
2.5091e+05 3.4474 3.5540 0.51378 0.50877 2.1947e+02 0 1.0864e-06 6.893000e-01 2.938860e-01 2.541400e-03 1.403890e-03 7.376991e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.6000 3 # agb_0.600_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3028 3.4807 0.60000 0.50587 2.6599e+02 0 2.0989e-07 6.893000e-01 2.939070e-01 2.555100e-03 1.386919e-03 7.377017e-03 -0.1371 6.893000e-01 2.939070e-01 2.555100e-03 1.386919e-03 7.377017e-03
1.2267e+05 3.3726 3.4804 0.56639 0.50775 3.2826e+02 0 3.4514e-07 6.893000e-01 2.939070e-01 2.555100e-03 1.386919e-03 7.377017e-03 -0.1414 6.893000e-01 2.939070e-01 2.555100e-03 1.386919e-03 7.377017e-03
2.5127e+05 3.4491 3.5542 0.51525 0.51024 2.1942e+02 0 1.0914e-06 6.893000e-01 2.939070e-01 2.555100e-03 1.386919e-03 7.377017e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.6200 5 # agb_0.62_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1857 3.4968 0.62000 0.50609 1.7217e+02 0 1.1695e-07 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03 -0.1328 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03
9.0314e+04 3.3639 3.4704 0.60845 0.50702 3.2999e+02 0 2.6669e-07 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03 -0.1328 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03
1.2099e+05 3.3348 3.4765 0.59999 0.50772 2.9667e+02 0 2.4322e-07 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03 -0.1417 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03
2.5372e+05 3.3712 3.4811 0.56896 0.51003 3.2375e+02 0 3.4119e-07 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03 -0.1417 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03
3.8767e+05 3.4508 3.5519 0.51824 0.51282 2.2365e+02 0 1.0715e-06 6.893000e-01 2.938380e-01 2.573800e-03 1.364961e-03 7.377046e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.6500 6 # agb_0.65_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1889 3.4958 0.65000 0.50770 1.6765e+02 0 1.0814e-07 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03 -0.1341 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03
1.2119e+05 3.3214 3.4760 0.63111 0.50940 2.7626e+02 0 2.0417e-07 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03 -0.1341 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03
2.4922e+05 3.3900 3.4709 0.59571 0.51169 3.5496e+02 0 3.2285e-07 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03 -0.1441 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03
3.3222e+05 3.4311 3.4703 0.58094 0.51282 4.0008e+02 0 5.7280e-07 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03 -0.1441 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03
3.8977e+05 3.4236 3.5002 0.54219 0.51483 3.2053e+02 0 5.7677e-07 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03 -0.1451 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03
4.6533e+05 3.4393 3.5546 0.52089 0.51584 2.1182e+02 0 1.0162e-06 6.894000e-01 2.938720e-01 2.595600e-03 1.339007e-03 7.377084e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.6600 5 # agb_0.66_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3529 3.4700 0.66000 0.50981 3.0039e+02 0 2.1380e-07 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03 -0.1450 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03
1.1845e+05 3.4105 3.4680 0.59550 0.51184 3.8135e+02 0 4.1783e-07 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03 -0.1450 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03
1.8933e+05 3.4523 3.4675 0.58110 0.51271 4.2999e+02 0 9.0365e-07 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03 -0.1483 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03
2.4734e+05 3.4574 3.5398 0.52262 0.51471 2.5096e+02 0 9.9770e-07 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03 -0.1483 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03
2.6818e+05 2.9528 3.5844 0.51989 0.51474 5.4823e+01 0 1.0000e-07 6.894000e-01 2.938800e-01 2.598600e-03 1.336017e-03 7.377094e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.6800 5 # agb_0.68_Z0.01700000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3005 3.4790 0.68000 0.51041 2.3993e+02 0 1.6144e-07 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03 -0.1420 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03
8.9337e+04 3.4354 3.4562 0.66333 0.51157 4.0674e+02 0 6.2661e-07 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03 -0.1420 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03
1.1649e+05 3.4037 3.4626 0.64436 0.51231 3.6729e+02 0 3.2211e-07 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03 -0.1482 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03
2.4584e+05 3.4310 3.4819 0.56200 0.51503 3.7151e+02 0 4.9204e-07 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03 -0.1482 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03
3.4278e+05 3.5046 3.5523 0.52232 0.51692 2.4942e+02 0 1.4256e-06 6.894000e-01 2.937950e-01 2.609000e-03 1.324036e-03 7.377113e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
