10
0.15 2
   0.000000E+00 -2.7637  3.4417 M=  0.15                     1    10
   0.252372E+11 -2.7619  3.4417 Te-M         2    37
0.20 2
   0.000000E+00 -2.5641  3.4420 M=  0.20                     1     9
   0.248984E+11 -2.5586  3.4420 Te-M         2    36
0.25 2
   0.000000E+00 -2.2413  3.4957 M=  0.25                     1     9
   0.248984E+11 -2.1698  3.5074 Te-M         2    36
0.30 2
   0.000000E+00 -1.9865  3.5376 M=  0.30                     1     7
   0.249944E+11 -1.8869  3.5514 Te-M         2    36
0.35 4
   0.000000E+00 -1.7653  3.5717 M=  0.35                     1    10
   0.534436E+10 -1.7176  3.5748              2    19
   0.191026E+11 -1.6919  3.5791              3    40
   0.251427E+11 -1.6812  3.5809 Te-M         4    51
0.40 6
   0.000000E+00 -1.5474  3.6017 M=  0.40                     1    12
   0.315503E+10 -1.5301  3.6030              2    19
   0.108954E+11 -1.5052  3.6065              3    40
   0.172017E+11 -1.4885  3.6093              4    59
   0.234772E+11 -1.4722  3.6120              5    77
   0.244222E+11 -1.4699  3.6124 Te-M         6    79
0.45 7
   0.000000E+00 -1.3558  3.6300 M=  0.45                     1    12
   0.215153E+10 -1.3412  3.6313              2    19
   0.729851E+10 -1.3179  3.6345              3    40
   0.118923E+11 -1.3005  3.6372              4    59
   0.165154E+11 -1.2831  3.6400              5    77
   0.212109E+11 -1.2643  3.6431              6    94
   0.245780E+11 -1.2509  3.6453 Te-M         7   105
0.50 9
   0.000000E+00 -1.1700  3.6569 M=  0.50                     1    13
   0.122484E+10 -1.1585  3.6583              2    19
   0.492793E+10 -1.1369  3.6611              3    40
   0.832092E+10 -1.1182  3.6639              4    59
   0.117253E+11 -1.0998  3.6667              5    77
   0.151635E+11 -1.0806  3.6696              6    94
   0.186424E+11 -1.0609  3.6725              7   110
   0.221798E+11 -1.0385  3.6760              8   125
   0.243649E+11 -1.0248  3.6780 Te-M         9   134
0.55 11
   0.000000E+00 -0.9995  3.6821 M=  0.55                     1    12
   0.109746E+10 -0.9849  3.6834              2    20
   0.375684E+10 -0.9634  3.6862              3    41
   0.628160E+10 -0.9442  3.6890              4    60
   0.881767E+10 -0.9245  3.6921              5    78
   0.113725E+11 -0.9042  3.6952              6    94
   0.139522E+11 -0.8825  3.6986              7   110
   0.165704E+11 -0.8595  3.7021              8   126
   0.192267E+11 -0.8343  3.7058              9   141
   0.219243E+11 -0.8072  3.7097             10   155
   0.247389E+11 -0.7762  3.7142 Te-M        11   169
0.60 15
   0.000000E+00 -0.8217  3.7155 M=  0.60                     1    14  
   0.794510E+09 -0.8070  3.7168              2    21                  
   0.276533E+10 -0.7863  3.7189              3    42                  
   0.465001E+10 -0.7678  3.7210              4    61                  
   0.653489E+10 -0.7485  3.7234              5    79                  
   0.842639E+10 -0.7283  3.7258              6    96                  
   0.103250E+11 -0.7074  3.7281              7   112                  
   0.122350E+11 -0.6847  3.7307              8   127                  
   0.141631E+11 -0.6601  3.7334              9   142                  
   0.161175E+11 -0.6332  3.7364             10   156                  
   0.181010E+11 -0.6039  3.7394             11   170                  
   0.201278E+11 -0.5707  3.7429             12   184                  
   0.222036E+11 -0.5333  3.7468             13   199                  
   0.243617E+11 -0.4891  3.7515             14   218                  
   0.267539E+11 -0.4322  3.7571  Te-M       15   245                  
