1
1 7
7
105 103 98 99 98 97 105 
0.6 0.7 0.8 0.9 1.0 1.1 1.2
0.0000000e+00 3.75542 4.00000 0.60000
1.7677468e+02 3.75533 4.09842 0.60000
4.1672704e+02 3.75533 4.19600 0.60000
7.6479267e+02 3.75433 4.29442 0.60000
1.2239629e+03 3.75333 4.39292 0.60000
1.8042115e+03 3.75225 4.49133 0.60000
2.5276234e+03 3.74833 4.58892 0.60000
3.3953965e+03 3.74242 4.68733 0.60000
4.3586771e+03 3.73242 4.78583 0.60000
5.4197925e+03 3.71183 4.88242 0.60000
6.5790516e+03 3.67725 4.97792 0.60000
7.7922209e+03 3.60908 5.06567 0.60000
8.9156427e+03 3.49550 5.12958 0.60000
9.7267450e+03 3.35283 5.15800 0.60000
1.0178144e+04 3.20317 5.16008 0.60000
1.0409244e+04 3.05450 5.15158 0.60000
1.0577271e+04 2.90675 5.13658 0.60000
1.0742691e+04 2.75917 5.12108 0.60000
1.0936502e+04 2.61342 5.10000 0.60000
1.1209326e+04 2.46775 5.07675 0.60000
1.3710777e+04 2.32225 5.05517 0.60000
2.5763009e+04 2.17575 5.03642 0.60000
4.3577138e+04 2.02917 5.01683 0.60000
6.8354409e+04 1.88350 4.99558 0.60000
1.0301005e+05 1.73692 4.97433 0.60000
1.5164390e+05 1.59217 4.95117 0.60000
2.1934210e+05 1.44658 4.92792 0.60000
3.1162284e+05 1.30192 4.90275 0.60000
4.3060811e+05 1.15717 4.87850 0.60000
5.8799245e+05 1.01350 4.85325 0.60000
7.7787012e+05 0.86892 4.82608 0.60000
1.0091377e+06 0.72525 4.79883 0.60000
1.2920725e+06 0.58250 4.77067 0.60000
1.6561956e+06 0.43983 4.74150 0.60000
2.0285640e+06 0.29717 4.71133 0.60000
2.5624123e+06 0.15450 4.68208 0.60000
3.2788397e+06 0.01283 4.65100 0.60000
4.0142432e+06 -0.12892 4.62075 0.60000
4.9426202e+06 -0.27150 4.58958 0.60000
6.2428261e+06 -0.41317 4.55842 0.60000
