# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5700 3 # agb_0.570_Z0.00200000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0409 3.5982 0.57000 0.50268 2.9036e+01 1 1.5205e-07 7.373000e-01 2.607310e-01 2.633200e-04 2.045804e-04 8.639479e-04 -0.0899 7.373000e-01 2.607310e-01 2.633200e-04 2.045804e-04 8.639479e-04 0.00000 0.00000 0.00000 0.00000 3.89118 -0.09219 -0.19221 0.00000 0.00000
2.2962e+05 3.1683 3.6091 0.51851 0.50462 7.1308e+01 0 3.7670e-07 7.373000e-01 2.607310e-01 2.633200e-04 2.045804e-04 8.639479e-04 -0.0875 7.373000e-01 2.607310e-01 2.633200e-04 2.045804e-04 8.639479e-04 2.71670 3.17760 0.04833 0.06604 3.89118 -0.09219 -0.19221 0.00000 0.00000
3.0694e+05 2.9699 3.6423 0.51008 0.50476 1.9541e+01 1 2.0091e-07 7.373000e-01 2.607310e-01 2.633200e-04 2.045804e-04 8.639479e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 0.00000 0.00000 0.00000 0.00000 3.89118 -0.09219 -0.19221 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5800 3 # agb_0.580_Z0.00200000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0430 3.5971 0.58000 0.50417 2.9116e+01 1 1.4757e-07 7.373000e-01 2.607510e-01 2.645000e-04 2.032839e-04 8.639853e-04 -0.0903 7.373000e-01 2.607510e-01 2.645000e-04 2.032839e-04 8.639853e-04 0.00000 0.00000 0.00000 0.00000 3.88871 -0.09238 -0.13993 0.00000 0.00000
2.2693e+05 3.1752 3.6001 0.52966 0.50614 7.7029e+01 0 3.4674e-07 7.373000e-01 2.607510e-01 2.645000e-04 2.032839e-04 8.639853e-04 -0.0892 7.373000e-01 2.607510e-01 2.645000e-04 2.032839e-04 8.639853e-04 2.73400 3.19340 0.05526 0.07454 3.88871 -0.09238 -0.13993 0.00000 0.00000
3.4163e+05 3.1460 3.6291 0.51195 0.50660 2.9648e+01 1 4.1400e-07 7.373000e-01 2.607510e-01 2.645000e-04 2.032839e-04 8.639853e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.78950 3.07010 0.01226 0.01988 3.93907 -0.09838 -1.43427 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5900 3 # agb_0.590_Z0.00200000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1336 3.5882 0.59000 0.50666 3.6369e+01 1 2.0893e-07 7.371000e-01 2.608630e-01 2.628700e-04 2.050859e-04 8.639280e-04 -0.0918 7.371000e-01 2.608630e-01 2.628700e-04 2.050859e-04 8.639280e-04 0.00000 0.00000 0.00000 0.00000 3.89191 -0.09364 -0.12556 0.00000 0.00000
2.2107e+05 3.2347 3.5985 0.52823 0.50889 8.9409e+01 0 4.6881e-07 7.371000e-01 2.608630e-01 2.628700e-04 2.050859e-04 8.639280e-04 -0.0904 7.371000e-01 2.608630e-01 2.628700e-04 2.050859e-04 8.639280e-04 2.76340 3.25050 0.05901 0.08195 3.89191 -0.09364 -0.12556 0.00000 0.00000
3.1179e+05 3.1116 3.6325 0.51438 0.50918 2.7090e+01 1 3.5727e-07 7.371000e-01 2.608630e-01 2.628700e-04 2.050859e-04 8.639280e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 0.00000 0.00000 0.00000 0.00000 3.89191 -0.09364 -0.12556 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.6000 3 # agb_0.600_Z0.00200000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9391 3.6060 0.60000 0.50779 2.2178e+01 1 9.1833e-08 7.374000e-01 2.607200e-01 2.732000e-04 1.929959e-04 8.639644e-04 -0.0886 7.374000e-01 2.607200e-01 2.732000e-04 1.929959e-04 8.639644e-04 0.00000 0.00000 0.00000 0.00000 3.88417 -0.09236 -0.07367 0.00000 0.00000
2.1732e+05 3.1385 3.5925 0.56310 0.50952 7.1831e+01 0 2.4155e-07 7.374000e-01 2.607200e-01 2.732000e-04 1.929959e-04 8.639644e-04 -0.0914 7.374000e-01 2.607200e-01 2.732000e-04 1.929959e-04 8.639644e-04 2.77260 3.16050 0.07221 0.09085 3.88417 -0.09236 -0.07367 0.00000 0.00000
4.1779e+05 3.2203 3.6258 0.51635 0.51122 6.9276e+01 0 5.7677e-07 7.374000e-01 2.607200e-01 2.732000e-04 1.929959e-04 8.639644e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.82490 3.16510 0.03429 0.04984 3.90147 -0.09301 -0.33786 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.6200 3 # agb_0.62_Z0.00200000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1077 3.5897 0.62000 0.51058 3.3452e+01 1 1.7022e-07 7.373000e-01 2.606670e-01 2.771200e-04 1.884030e-04 8.640580e-04 -0.0914 7.373000e-01 2.606670e-01 2.771200e-04 1.884030e-04 8.640580e-04 0.00000 0.00000 0.00000 0.00000 3.88414 -0.09354 -0.03408 0.00000 0.00000
2.1228e+05 3.2355 3.5833 0.56824 0.51277 9.6064e+01 0 3.6224e-07 7.373000e-01 2.606670e-01 2.771200e-04 1.884030e-04 8.640580e-04 -0.0931 7.373000e-01 2.606670e-01 2.771200e-04 1.884030e-04 8.640580e-04 2.80460 3.25970 0.08337 0.10797 3.88414 -0.09354 -0.03408 0.00000 0.00000
3.7980e+05 3.3057 3.6205 0.51957 0.51432 8.7388e+01 0 8.4723e-07 7.373000e-01 2.606670e-01 2.771200e-04 1.884030e-04 8.640580e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.86420 3.24150 0.03273 0.05112 3.91248 -0.09553 -0.39553 0.00000 0.00000
